movie,year,imdb,metascore,votes,us_grossMillions,timeMin
Kingsman: The Secret Service,2014,7.7,60,621882,128.26,129
Watchmen,2009,7.6,56,529244,107.51,162
"The Good, the Bad and the Ugly",1966,8.8,90,723150,6.1,178
True Romance,1993,7.9,59,218348,12.28,119
What's Eating Gilbert Grape,1993,7.7,73,226824,9.17,118
The Big Lebowski,1998,8.1,71,771356,17.5,117
La La Land,2016,8.0,94,543343,151.1,128
Memento,2000,8.4,80,1177249,25.54,113
Into the Wild,2007,8.1,73,598262,18.35,148
Soul,2020,8.1,83,285011,,100
Braveheart,1995,8.3,68,994199,75.6,178
Drive,2011,7.8,78,600124,35.06,100
Batman Begins,2005,8.2,70,1370785,206.85,140
Snatch,2000,8.3,55,817209,30.33,102
Terminator 2: Judgment Day,1991,8.5,75,1040803,204.84,137
Psycho,1960,8.5,97,636451,32.0,109
Spirited Away,2001,8.6,96,701717,10.06,125
Star Trek,2009,7.9,82,591949,257.73,127
Argo,2012,7.7,86,593754,136.03,120
Green Book,2018,8.2,69,434234,85.08,130
Spotlight,2015,8.1,93,446283,45.06,129
The Lion King,1994,8.5,88,991550,422.78,88
The Bourne Identity,2002,7.9,68,526851,121.66,119
The Breakfast Club,1985,7.8,66,375155,45.88,97
2001: A Space Odyssey,1968,8.3,84,634804,56.95,149
Sherlock Holmes,2009,7.6,57,606796,209.03,128
The Notebook,2004,7.8,53,544387,81.0,123
Captain America: Civil War,2016,7.8,75,717453,408.08,147
The Social Network,2010,7.7,95,660204,96.96,120
300,2006,7.6,52,761179,210.61,117
"Lock, Stock and Two Smoking Barrels",1998,8.2,66,558575,3.9,107
Stardust,2007,7.6,66,264399,38.63,127
Almost Famous,2000,7.9,90,266497,32.53,122
Black Hawk Down,2001,7.7,74,379762,108.64,144
Kill Bill: Vol. 1,2003,8.1,69,1054661,70.1,111
Captain America: The Winter Soldier,2014,7.7,70,785270,259.77,136
Office Space,1999,7.7,68,253924,10.82,89
The Sound of Music,1965,8.0,63,217441,163.21,172
